ProjectId,ProjectPath,ParentDocId,DocObjectId,Description,TDMX_ID,USER_OBJECT_ID,MODIFICATION_DATE,TDMX_COMMENTS,CREATION_DATE,TDMX_CAD_IDENTIFIER,REVISION,PAR_REVISION,REVISION_STG,STATE,CN_DOCUMENT_APPLICABILITY,TDMX_DETAILED_DESCRIPTION,CAD_REF_DIRECTORY,FILE_NAME,TDM_FILE_ID,VAULT_OBJECT_ID,ROOT_DIR_ON_SERVER,FILE_SIZE,CAD_REF_FILE_NAME,DESIGN_MODULE,DocPath,UploadPath,ExtractTimestamp
16581,PRJ-0001403_TRACKER,PROJECT,460925,1. CHANGE APPROVAL SHEET,1. CHANGE APPROVAL SHEET-FLD-0050701,Gilles Huiban,10/14/2014 12:37:20,,11/19/2009 09:22:22,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/1. CHANGE APPROVAL SHEET,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,PROJECT,460926,2. DEFINITION,2. DEFINITION-FLD-0050702,Gilles Huiban,10/14/2014 12:37:21,,11/19/2009 09:27:43,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460926,460927,2.2. DRAWINGS,2.2. DRAWINGS-FLD-0050703,Gilles Huiban,10/14/2014 12:37:24,,12/09/2009 15:30:35,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460928,ATA 33,ATA 33-FLD-0050704,Gilles Huiban,10/14/2014 12:37:26,,12/09/2009 09:57:57,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 33,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460929,ATA 34,ATA 34-FLD-0050705,Gilles Huiban,10/14/2014 12:37:28,,12/09/2009 09:58:21,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 34,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460930,ATA 56,ATA 56-FLD-0050706,Gilles Huiban,10/14/2014 12:37:30,,12/09/2009 09:58:46,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 56,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460931,ATA 11,ATA 11-FLD-0050707,Gilles Huiban,10/14/2014 12:37:32,,02/02/2010 11:28:42,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 11,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460932,ATA 23,ATA 23-FLD-0050708,Gilles Huiban,10/14/2014 12:37:35,,02/02/2010 11:28:57,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 23,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460933,ATA 24,ATA 24-FLD-0050709,Gilles Huiban,10/14/2014 12:37:37,,02/02/2010 11:29:17,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 24,,2026-06-30 08:06:32
16581,PRJ-0001403_TRACKER,460927,460934,ATA 25,ATA 25-FLD-0050710,Gilles Huiban,10/14/2014 12:37:39,,02/02/2010 11:29:33,,,,-2147483647,New,,,,,,,,0 B,,,TRACKER/2. DEFINITION/2.2. DRAWINGS/ATA 25,,2026-06-30 08:06:32
